votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,area,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_old,age_young,age_adult,ethnic_female,ethnic_male
170654,10.2,43338.0,20231.0,27.5,12.09927489,18.32592236,930450.0,6011.2,0.771576666,0.058552963,0.029774501,0.002711156,0.014887251,0.1750547,1,Fresno County,CA,73.5,42,0.178997827,0.39810496000000006,0.38839896199999996,0.386056063,0.385520602
3562,4.6,41876.0,19725.0,20.2,8.230310366,11.81293653,13833.0,902.13,0.896819527,0.068269231,0.0125,0.001109467,0.007988166,0.263461538,0,Dawson County,TX,72.5,299,0.20739645,0.36797337399999996,0.3944526629999999,0.406656805,0.490162722
7783,6.4,45485.0,25018.0,15.1,5.603810591,7.716209218,18576.0,624.0,0.981600996,0.004868659,0.002151268,0.000226449,0.004132699,0.440613678,0,Edgar County,IL,87.4,130,0.29908288,0.27785326200000005,0.357903081,0.505264946,0.476336051
13160,6.0,36488.0,21149.0,20.9,7.050779061,12.52261307,27281.0,429.27,0.970910437,0.009585492,0.003145818,0.000444115,0.005144338,0.487046632,0,Ashe County,NC,82.3,106,0.318726868,0.252257587,0.35099926,0.489970392,0.480940044
33213,6.0,46715.0,22034.0,16.5,7.812793097,12.11755675,76258.0,1089.9,0.916272627,0.040931311,0.012440561,0.00038627,0.012227446,0.442385817,0,Van Buren County,MI,86.3,81,0.25932043200000005,0.31587570200000004,0.362907415,0.462045633,0.454226994
7354,5.5,50750.0,26918.0,12.6,5.60823625,9.546377793,15387.0,466.36,0.966133005,0.010673235,0.003899836,0.000205255,0.00636289,0.503147236,0,Carroll County,IL,90.5,196,0.323139024,0.255952381,0.335796388,0.483237548,0.482895457
5885,6.1,37072.0,21935.0,18.5,8.435335421,12.18781219,10587.0,220.63,0.965149958,0.011959264,0.004391292,0.000467159,0.008876016,0.549845838,0,Clay County,NC,88.3,126,0.361113706,0.233485938,0.29991590999999995,0.495094833,0.470055125
18702,5.8,39881.0,21938.0,15.4,7.265575014,14.20068027,43784.0,402.7,0.970146079,0.010353141,0.002363731,0.000236373,0.006665721,0.442064955,0,Crawford County,OH,87.6,261,0.280078476,0.293669928,0.359523472,0.498794497,0.471351581
4507,7.5,41418.0,20890.0,17.0,7.126076742,8.247978437,9304.0,1046.33,0.812631114,0.010599536,0.142872916,0.001324942,0.015457657,0.497626146,0,Forest County,WI,86.9,110,0.314452909,0.292922601,0.325273269,0.399801259,0.412829855
70861,8.1,57428.0,25048.0,17.0,5.932800173,8.191110911,415057.0,3771.22,0.825809292,0.034874556,0.026646816,0.006070551,0.018734818,0.163312576,1,Monterey County,CA,70.7,44,0.192130409,0.37418932699999996,0.39751969400000003,0.405003019,0.420806272
6743,6.0,48084.0,23192.0,13.3,4.482098934,7.210327456,14845.0,438.06,0.972862123,0.012372684,0.002050721,6.84e-05,0.004921731,0.460933762,0,Fulton County,PA,85.1,63,0.27794107500000004,0.28409323799999997,0.372821108,0.480552328,0.492309796
